,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
10,10,ADA,AVA,3.0,5.0,17.0,20.0,6.0,5,51.0,10.2,3,2,core,51.0,ADA (pp) AVA,>10
11,11,ADA,AVB,28.0,45.0,62.0,18.0,5.0,5,158.0,158.0,3,2,core,158.0,ADA (pp) AVB,>10
12,12,ADA,AVD,1.0,1.0,8.0,31.0,10.0,5,51.0,12.75,3,2,core,51.0,ADA (pp) AVD,>10
13,13,ADA,AVE,4.0,1.0,4.0,28.0,29.0,5,66.0,33.0,3,2,core,66.0,ADA (pp) AVE,>10
14,14,ADA,AVJ,10.0,18.0,24.0,20.0,12.0,5,84.0,42.0,3,2,core,84.0,ADA (pp) AVJ,>10
22,22,ADA,PVR,0.0,0.0,0.0,2.0,6.0,2,8.0,8.0,0,2,pristi_specific,8.0,ADA (pp) PVR,>3-10
23,23,ADA,RIA,0.0,0.0,0.0,15.0,14.0,2,29.0,29.0,0,2,pristi_specific,29.0,ADA (pp) RIA,>10
27,27,ADA,RIM,13.0,11.0,38.0,15.0,4.0,5,81.0,81.0,3,2,core,81.0,ADA (pp) RIM,>10
28,28,ADA,RIP,8.0,11.0,13.0,0.0,0.0,3,32.0,10.666666666666666,3,0,cel_specific,32.0,ADA (pp) RIP,>10
32,34,ADA,SIB,0.0,0.0,0.0,4.0,3.0,2,7.0,7.0,0,2,pristi_specific,7.0,ADA (pp) SIB,>3-10
38,40,ADE,ADE,9.0,8.0,14.0,0.0,0.0,3,31.0,31.0,3,0,cel_specific,31.0,ADE (pp) ADE,>10
40,42,ADE,ALM,1.0,1.0,1.0,0.0,0.0,3,3.0,1.0,3,0,cel_specific,3.0,ADE (pp) ALM,1-3
41,43,ADE,ALN,2.0,2.0,1.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific,5.0,ADE (pp) ALN,>3-10
44,47,ADE,AVA,12.0,9.0,46.0,17.0,17.0,5,101.0,33.666666666666664,3,2,core,101.0,ADE (pp) AVA,>10
47,50,ADE,AVE,1.0,1.0,7.0,0.0,0.0,3,9.0,2.25,3,0,cel_specific,9.0,ADE (pp) AVE,1-3
53,56,ADE,CEP,5.0,5.0,8.0,0.0,0.0,3,18.0,18.0,3,0,cel_specific,18.0,ADE (pp) CEP,>10
56,59,ADE,FLP,1.0,1.0,9.0,0.0,0.0,3,11.0,5.5,3,0,cel_specific,11.0,ADE (pp) FLP,>3-10
57,60,ADE,IL1,8.0,5.0,4.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific,17.0,ADE (pp) IL1,>10
58,61,ADE,IL2,3.0,4.0,6.0,0.0,0.0,3,13.0,13.0,3,0,cel_specific,13.0,ADE (pp) IL2,>10
59,62,ADE,OLL,6.0,2.0,10.0,0.0,0.0,3,18.0,9.0,3,0,cel_specific,18.0,ADE (pp) OLL,>3-10
65,69,ADE,RIG,34.0,34.0,87.0,56.0,35.0,5,246.0,246.0,3,2,core,246.0,ADE (pp) RIG,>10
68,72,ADE,RIV,6.0,6.0,5.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific,17.0,ADE (pp) RIV,>10
69,73,ADE,RMD,8.0,8.0,17.0,0.0,0.0,3,33.0,11.0,3,0,cel_specific,33.0,ADE (pp) RMD,>10
72,78,ADE,SAA,3.0,4.0,1.0,0.0,0.0,3,8.0,2.0,3,0,cel_specific,8.0,ADE (pp) SAA,1-3
77,84,ADE,URB,1.0,1.0,3.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific,5.0,ADE (pp) URB,>3-10
84,92,ADF,AIB,1.0,2.0,3.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific,6.0,ADF (pp) AIB,1-3
87,95,ADF,AIZ,19.0,31.0,84.0,70.0,26.0,5,230.0,76.66666666666667,3,2,core,230.0,ADF (pp) AIZ,>10
91,99,ADF,AUA,13.0,3.0,21.0,18.0,3.0,5,58.0,58.0,3,2,core,58.0,ADF (pp) AUA,>10
92,100,ADF,AVH,2.0,1.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific,4.0,ADF (pp) AVH,>3-10
97,105,ADF,OLQ,1.0,2.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific,4.0,ADF (pp) OLQ,>3-10
100,109,ADF,RIA,35.0,29.0,122.0,115.0,13.0,5,314.0,104.66666666666669,3,2,core,314.0,ADF (pp) RIA,>10
103,112,ADF,RIG,9.0,7.0,29.0,0.0,0.0,3,45.0,15.0,3,0,cel_specific,45.0,ADF (pp) RIG,>10
105,114,ADF,RIP,0.0,0.0,0.0,40.0,7.0,2,47.0,15.666666666666666,0,2,pristi_specific,47.0,ADF (pp) RIP,>10
106,115,ADF,RIR,6.0,7.0,11.0,7.0,5.0,5,36.0,36.0,3,2,core,36.0,ADF (pp) RIR,>10
115,124,ADL,AIA,14.0,21.0,42.0,12.0,5.0,5,94.0,47.0,3,2,core,94.0,ADL (pp) AIA,>10
116,125,ADL,AIB,24.0,30.0,54.0,114.0,14.0,5,236.0,236.0,3,2,core,236.0,ADL (pp) AIB,>10
123,132,ADL,ASI,0.0,0.0,0.0,18.0,4.0,2,22.0,22.0,0,2,pristi_specific,22.0,ADL (pp) ASI,>10
127,136,ADL,AVB,2.0,1.0,19.0,4.0,2.0,5,28.0,28.0,3,2,core,28.0,ADL (pp) AVB,>10
128,137,ADL,AVD,14.0,26.0,48.0,9.0,2.0,5,99.0,99.0,3,2,core,99.0,ADL (pp) AVD,>10
133,142,ADL,AWB,1.0,2.0,3.0,5.0,3.0,5,14.0,3.5,3,2,core,14.0,ADL (pp) AWB,>3-10
149,161,ADL,RMG,0.0,0.0,0.0,6.0,3.0,2,9.0,9.0,0,2,pristi_specific,9.0,ADL (pp) RMG,>3-10
152,164,ADL,SMD,0.0,0.0,0.0,2.0,5.0,2,7.0,7.0,0,2,pristi_specific,7.0,ADL (pp) SMD,>3-10
160,172,AFD,AIY,27.0,20.0,56.0,116.0,26.0,5,245.0,245.0,3,2,core,245.0,AFD (pp) AIY,>10
169,181,AFD,SIB,0.0,0.0,0.0,4.0,2.0,2,6.0,6.0,0,2,pristi_specific,6.0,AFD (pp) SIB,>3-10
170,182,AIA,ADA,4.0,5.0,8.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific,17.0,AIA (pp) ADA,>10
174,186,AIA,AIB,25.0,34.0,99.0,63.0,19.0,5,240.0,,3,2,core,240.0,AIA (pp) AIB,>10
186,198,AIA,ASE,13.0,21.0,19.0,2.0,3.0,5,58.0,11.6,3,2,core,58.0,AIA (pp) ASE,>10
188,201,AIA,RIF,3.0,3.0,51.0,0.0,0.0,3,57.0,57.0,3,0,cel_specific,57.0,AIA (pp) RIF,>10
