,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros
70,ADE,RIH,3.0,0.0,4.0,0.0,0.0,2,7.0,7.0,2,0,not specific,7.0
71,ADE,RIM,0.0,0.0,0.0,6.0,0.0,1,6.0,3.0,0,1,not specific,6.0
72,ADE,RIV,6.0,6.0,5.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific,17.0
73,ADE,RMD,8.0,8.0,17.0,0.0,0.0,3,33.0,11.0,3,0,cel_specific,33.0
74,ADE,RME,1.0,0.0,4.0,0.0,0.0,2,5.0,5.0,2,0,not specific,5.0
75,ADE,RMF,7.0,5.0,0.0,0.0,0.0,2,12.0,6.0,2,0,not specific,12.0
76,ADE,RMG,1.0,0.0,0.0,4.0,0.0,2,5.0,5.0,1,1,not specific,5.0
77,ADE,RMH,2.0,2.0,3.0,0.0,0.0,3,7.0,7.0,3,0,cel_specific,7.0
78,ADE,SAA,3.0,4.0,1.0,0.0,0.0,3,8.0,2.0,3,0,cel_specific,8.0
79,ADE,SDQ,0.0,1.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0
80,ADE,SIA,0.0,1.0,1.0,23.0,11.0,4,36.0,12.0,2,2,not specific,36.0
81,ADE,SIB,2.0,0.0,2.0,0.0,0.0,2,4.0,2.0,2,0,not specific,4.0
82,ADE,SMB,3.0,3.0,3.0,1.0,0.0,4,10.0,5.0,3,1,not specific,10.0
83,ADE,SMD,0.0,2.0,1.0,0.0,0.0,2,3.0,1.5,2,0,not specific,3.0
84,ADE,URB,1.0,1.0,3.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific,5.0
85,ADE,URX,0.0,0.0,2.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific,2.0
86,ADE,VBn,0.0,0.0,3.0,0.0,0.0,1,3.0,0.6,1,0,not specific,3.0
87,ADF,ADA,1.0,0.0,10.0,1.0,0.0,3,12.0,12.0,2,1,not specific,12.0
88,ADF,ADF,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
89,ADF,ADL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
90,ADF,AFD,0.0,0.0,2.0,0.0,9.0,2,11.0,11.0,1,1,not specific,11.0
91,ADF,AIA,0.0,2.0,2.0,0.0,3.0,3,7.0,7.0,2,1,not specific,7.0
92,ADF,AIB,1.0,2.0,3.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific,6.0
93,ADF,AIN,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific,1.0
94,ADF,AIY,0.0,0.0,2.0,4.0,2.0,3,8.0,4.0,1,2,not specific,8.0
95,ADF,AIZ,19.0,31.0,84.0,70.0,26.0,5,230.0,76.66666666666667,3,2,core,230.0
96,ADF,ASE,2.0,0.0,0.0,0.0,0.0,1,2.0,1.0,1,0,not specific,2.0
97,ADF,ASG,1.0,0.0,0.0,0.0,0.0,1,1.0,,1,0,not specific,1.0
98,ADF,ASH,0.0,1.0,10.0,0.0,0.0,2,11.0,,2,0,not specific,11.0
99,ADF,AUA,13.0,3.0,21.0,18.0,3.0,5,58.0,58.0,3,2,core,58.0
100,ADF,AVH,2.0,1.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific,4.0
101,ADF,AWA,0.0,0.0,1.0,1.0,3.0,3,5.0,1.6666666666666667,1,2,not specific,5.0
102,ADF,AWB,2.0,2.0,6.0,7.0,0.0,4,17.0,5.666666666666667,3,1,not specific,17.0
103,ADF,AWC,0.0,0.0,3.0,0.0,0.0,1,3.0,1.5,1,0,not specific,3.0
104,ADF,BAG,0.0,1.0,6.0,0.0,0.0,2,7.0,7.0,2,0,not specific,7.0
105,ADF,OLQ,1.0,2.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific,4.0
106,ADF,PVN,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
107,ADF,PVP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
108,ADF,PVQ,1.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific,1.0
109,ADF,RIA,35.0,29.0,122.0,115.0,13.0,5,314.0,104.66666666666667,3,2,core,314.0
110,ADF,RIB,0.0,0.0,4.0,4.0,0.0,2,8.0,4.0,1,1,not specific,8.0
111,ADF,RIC,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
112,ADF,RIG,9.0,7.0,29.0,0.0,0.0,3,45.0,15.0,3,0,cel_specific,45.0
113,ADF,RIH,0.0,1.0,2.0,2.0,0.0,3,5.0,5.0,2,1,not specific,5.0
114,ADF,RIP,0.0,0.0,0.0,40.0,7.0,2,47.0,15.666666666666666,0,2,pristi_specific,47.0
115,ADF,RIR,6.0,7.0,11.0,7.0,5.0,5,36.0,36.0,3,2,core,36.0
116,ADF,RIV,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
117,ADF,SIB,1.0,1.0,0.0,0.0,0.0,2,2.0,1.0,2,0,not specific,2.0
118,ADF,SMB,13.0,9.0,31.0,31.0,0.0,4,84.0,84.0,3,1,not specific,84.0
119,ADF,SMD,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
120,ADF,URX,4.0,2.0,11.0,11.0,0.0,4,28.0,14.0,3,1,not specific,28.0
121,ADF,URY,1.0,0.0,2.0,0.0,0.0,2,3.0,1.0,2,0,not specific,3.0
122,ADL,ADA,0.0,2.0,2.0,3.0,3.0,4,10.0,10.0,2,2,not specific,10.0
123,ADL,ADL,0.0,0.0,3.0,3.0,0.0,2,6.0,6.0,1,1,not specific,6.0
124,ADL,AIA,14.0,21.0,42.0,12.0,5.0,5,94.0,47.0,3,2,core,94.0
125,ADL,AIB,24.0,30.0,54.0,114.0,14.0,5,236.0,236.0,3,2,core,236.0
126,ADL,AIM,0.0,0.0,0.0,7.0,0.0,1,7.0,7.0,0,1,not specific,7.0
127,ADL,ALA,0.0,0.0,5.0,6.0,2.0,3,13.0,13.0,1,2,not specific,13.0
128,ADL,ALM,0.0,0.0,0.0,5.0,0.0,1,5.0,1.6666666666666667,0,1,not specific,5.0
129,ADL,ASE,10.0,3.0,15.0,31.0,0.0,4,59.0,59.0,3,1,not specific,59.0
130,ADL,ASG,0.0,1.0,2.0,6.0,0.0,3,9.0,9.0,2,1,not specific,9.0
131,ADL,ASH,11.0,12.0,10.0,6.0,0.0,4,39.0,39.0,3,1,not specific,39.0
132,ADL,ASI,0.0,0.0,0.0,18.0,4.0,2,22.0,22.0,0,2,pristi_specific,22.0
133,ADL,ASJ,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
134,ADL,ASK,2.0,5.0,0.0,19.0,1.0,4,27.0,9.0,2,2,not specific,27.0
135,ADL,AVA,10.0,30.0,22.0,3.0,0.0,4,65.0,21.666666666666668,3,1,not specific,65.0
136,ADL,AVB,2.0,1.0,19.0,4.0,2.0,5,28.0,28.0,3,2,core,28.0
137,ADL,AVD,14.0,26.0,48.0,9.0,2.0,5,99.0,99.0,3,2,core,99.0
138,ADL,AVE,2.0,1.0,0.0,13.0,0.0,3,16.0,8.0,2,1,not specific,16.0
139,ADL,AVH,0.0,1.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0
140,ADL,AVJ,8.0,5.0,14.0,3.0,0.0,4,30.0,30.0,3,1,not specific,30.0
141,ADL,AWA,0.0,2.0,1.0,0.0,0.0,2,3.0,0.6,2,0,not specific,3.0
142,ADL,AWB,1.0,2.0,3.0,5.0,3.0,5,14.0,3.5,3,2,core,14.0
143,ADL,AWC,8.0,13.0,9.0,5.0,0.0,4,35.0,35.0,3,1,not specific,35.0
144,ADL,CEP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
145,ADL,HSN,2.0,0.0,0.0,12.0,0.0,2,14.0,4.666666666666667,1,1,not specific,14.0
146,ADL,IL1,0.0,0.0,0.0,4.0,0.0,1,4.0,4.0,0,1,not specific,4.0
147,ADL,IL2,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
148,ADL,OLL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
149,ADL,OLQ,0.0,2.0,3.0,2.0,3.0,4,10.0,,2,2,not specific,10.0
150,ADL,PVC,0.0,2.0,3.0,0.0,0.0,2,5.0,1.6666666666666667,2,0,not specific,5.0
151,ADL,PVD,0.0,0.0,0.0,3.0,5.0,2,8.0,2.6666666666666665,0,2,pristi_specific,8.0
152,ADL,PVN,1.0,0.0,0.0,8.0,0.0,2,9.0,,1,1,not specific,9.0
153,ADL,PVP,1.0,0.0,0.0,1.0,0.0,2,2.0,,1,1,not specific,2.0
154,ADL,PVQ,2.0,0.0,0.0,1.0,0.0,2,3.0,3.0,1,1,not specific,3.0
155,ADL,RIA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
156,ADL,RIC,0.0,0.0,6.0,0.0,0.0,1,6.0,3.0,1,0,not specific,6.0
157,ADL,RIF,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0
158,ADL,RIG,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0
159,ADL,RIP,0.0,0.0,5.0,0.0,0.0,1,5.0,1.6666666666666667,1,0,not specific,5.0
160,ADL,RIR,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0
161,ADL,RMG,0.0,0.0,0.0,6.0,3.0,2,9.0,9.0,0,2,pristi_specific,9.0
162,ADL,SIB,2.0,0.0,1.0,0.0,0.0,2,3.0,3.0,2,0,not specific,3.0
163,ADL,SMB,6.0,10.0,10.0,5.0,0.0,4,31.0,31.0,3,1,not specific,31.0
164,ADL,SMD,0.0,0.0,0.0,2.0,5.0,2,7.0,7.0,0,2,pristi_specific,7.0
165,ADL,URB,0.0,0.0,6.0,0.0,0.0,1,6.0,6.0,1,0,not specific,6.0
166,ADL,URX,0.0,0.0,7.0,0.0,0.0,1,7.0,7.0,1,0,not specific,7.0
167,ADL,URY,0.0,1.0,0.0,0.0,4.0,2,5.0,1.25,1,1,not specific,5.0
168,AFD,ADF,0.0,0.0,0.0,2.0,0.0,1,2.0,0.4,0,1,not specific,2.0
169,AFD,AFD,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0
170,AFD,AIB,0.0,0.0,1.0,1.0,2.0,3,4.0,4.0,1,2,not specific,4.0
171,AFD,AIN,0.0,1.0,3.0,6.0,0.0,3,10.0,10.0,2,1,not specific,10.0
172,AFD,AIY,27.0,20.0,56.0,116.0,26.0,5,245.0,245.0,3,2,core,245.0
173,AFD,AIZ,0.0,1.0,0.0,1.0,0.0,2,2.0,1.0,1,1,not specific,2.0
174,AFD,ASE,2.0,1.0,7.0,4.0,0.0,4,14.0,4.666666666666667,3,1,not specific,14.0
175,AFD,ASH,0.0,0.0,0.0,8.0,0.0,1,8.0,2.6666666666666665,0,1,not specific,8.0
176,AFD,AUA,0.0,0.0,0.0,4.0,0.0,1,4.0,2.0,0,1,not specific,4.0
177,AFD,AWB,0.0,1.0,4.0,0.0,0.0,2,5.0,5.0,2,0,not specific,5.0
178,AFD,AWC,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
179,AFD,BAG,0.0,3.0,0.0,0.0,0.0,1,3.0,3.0,1,0,not specific,3.0
180,AFD,PVP,0.0,0.0,0.0,0.0,2.0,1,2.0,1.0,0,1,not specific,2.0
181,AFD,SIB,0.0,0.0,0.0,4.0,2.0,2,6.0,6.0,0,2,pristi_specific,6.0
182,AIA,ADA,4.0,5.0,8.0,0.0,0.0,3,17.0,17.0,3,0,cel_specific,17.0
183,AIA,ADF,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0
184,AIA,ADL,2.0,7.0,11.0,6.0,0.0,4,26.0,13.0,3,1,not specific,26.0
185,AIA,AIA,0.0,0.0,1.0,5.0,0.0,2,6.0,6.0,1,1,not specific,6.0
186,AIA,AIB,25.0,34.0,99.0,63.0,19.0,5,240.0,,3,2,core,240.0
187,AIA,AIM,0.0,0.0,6.0,4.0,0.0,2,10.0,3.3333333333333335,1,1,not specific,10.0
188,AIA,AIY,0.0,0.0,0.0,0.0,8.0,1,8.0,8.0,0,1,not specific,8.0
189,AIA,AIZ,0.0,0.0,6.0,0.0,0.0,1,6.0,,1,0,not specific,6.0
190,AIA,ASE,2.0,1.0,20.0,17.0,0.0,4,40.0,20.0,3,1,not specific,40.0
191,AIA,ASG,2.0,3.0,6.0,2.0,0.0,4,13.0,13.0,3,1,not specific,13.0
192,AIA,ASH,1.0,0.0,1.0,38.0,17.0,4,57.0,28.5,2,2,not specific,57.0
193,AIA,ASI,2.0,1.0,2.0,3.0,0.0,4,8.0,4.0,3,1,not specific,8.0
194,AIA,ASJ,0.0,0.0,4.0,0.0,0.0,1,4.0,1.3333333333333333,1,0,not specific,4.0
195,AIA,ASK,5.0,3.0,10.0,19.0,0.0,4,37.0,18.5,3,1,not specific,37.0
196,AIA,AWA,1.0,0.0,4.0,1.0,0.0,3,6.0,6.0,2,1,not specific,6.0
197,AIA,AWB,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
198,AIA,AWC,13.0,21.0,19.0,2.0,3.0,5,58.0,11.6,3,2,core,58.0
199,AIA,HSN,2.0,0.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0
200,AIA,PVQ,0.0,1.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0
201,AIA,RIF,3.0,3.0,51.0,0.0,0.0,3,57.0,57.0,3,0,cel_specific,57.0
202,AIA,RIR,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific,2.0
203,AIA,RMG,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific,2.0
204,AIB,ADA,2.0,0.0,0.0,0.0,0.0,1,2.0,0.5,1,0,not specific,2.0
205,AIB,ADL,0.0,1.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0
206,AIB,AIA,0.0,1.0,1.0,3.0,0.0,3,5.0,5.0,2,1,not specific,5.0
207,AIB,AIB,0.0,2.0,2.0,4.0,0.0,3,8.0,4.0,2,1,not specific,8.0
208,AIB,AIY,0.0,1.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0
209,AIB,AIZ,0.0,2.0,7.0,1.0,0.0,3,10.0,10.0,2,1,not specific,10.0
210,AIB,AQR,1.0,0.0,1.0,0.0,0.0,2,2.0,0.4,2,0,not specific,2.0
211,AIB,ASE,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
212,AIB,ASH,0.0,0.0,6.0,8.0,0.0,2,14.0,14.0,1,1,not specific,14.0
213,AIB,ASK,0.0,0.0,0.0,1.0,0.0,1,1.0,0.3333333333333333,0,1,not specific,1.0
214,AIB,AUA,1.0,4.0,1.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific,6.0
215,AIB,AVA,9.0,7.0,9.0,20.0,3.0,5,48.0,48.0,3,2,core,48.0
216,AIB,AVB,17.0,14.0,39.0,37.0,3.0,5,110.0,55.0,3,2,core,110.0
217,AIB,AVD,0.0,0.0,0.0,2.0,0.0,1,2.0,0.4,0,1,not specific,2.0
218,AIB,AVE,2.0,3.0,5.0,9.0,0.0,4,19.0,19.0,3,1,not specific,19.0
219,AIB,AVK,0.0,1.0,0.0,2.0,0.0,2,3.0,3.0,1,1,not specific,3.0
220,AIB,AWC,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0
221,AIB,BAG,1.0,2.0,0.0,0.0,0.0,2,3.0,0.75,2,0,not specific,3.0
222,AIB,DVA,2.0,1.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific,4.0
223,AIB,DVC,1.0,0.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific,1.0
224,AIB,FLP,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
225,AIB,IL2,0.0,0.0,0.0,0.0,2.0,1,2.0,1.0,0,1,not specific,2.0
226,AIB,PVT,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific,2.0
227,AIB,RIA,1.0,1.0,3.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific,5.0
228,AIB,RIB,15.0,22.0,27.0,10.0,2.0,5,76.0,76.0,3,2,core,76.0
229,AIB,RIC,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0
230,AIB,RIF,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
231,AIB,RIG,1.0,4.0,6.0,0.0,0.0,3,11.0,2.2,3,0,cel_specific,11.0
232,AIB,RIM,53.0,43.0,114.0,89.0,21.0,5,320.0,320.0,3,2,core,320.0
233,AIB,RIV,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0
234,AIB,RMF,2.0,4.0,7.0,0.0,0.0,3,13.0,3.25,3,0,cel_specific,13.0
235,AIB,RMH,0.0,0.0,0.0,3.0,0.0,1,3.0,1.5,0,1,not specific,3.0
236,AIB,SAA,10.0,9.0,22.0,6.0,0.0,4,47.0,15.666666666666666,3,1,not specific,47.0
237,AIB,SIA,1.0,0.0,5.0,2.0,0.0,3,8.0,8.0,2,1,not specific,8.0
238,AIB,SIB,1.0,1.0,4.0,2.0,0.0,4,8.0,2.6666666666666665,3,1,not specific,8.0
239,AIB,SMD,24.0,24.0,44.0,61.0,24.0,5,177.0,177.0,3,2,core,177.0
240,AIB,URA,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific,1.0
241,AIB,URY,0.0,0.0,0.0,5.0,0.0,1,5.0,2.5,0,1,not specific,5.0
242,AIB,VBn,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific,3.0
243,AIM,ADA,1.0,2.0,0.0,0.0,0.0,2,3.0,0.6,2,0,not specific,3.0
244,AIM,ADF,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0
245,AIM,ADL,0.0,0.0,0.0,3.0,0.0,1,3.0,1.0,0,1,not specific,3.0
246,AIM,AIA,15.0,19.0,24.0,0.0,0.0,3,58.0,29.0,3,0,cel_specific,58.0
247,AIM,AIB,0.0,0.0,0.0,3.0,4.0,2,7.0,3.5,0,2,pristi_specific,7.0
248,AIM,AIM,2.0,1.0,1.0,0.0,0.0,3,4.0,1.0,3,0,cel_specific,4.0
249,AIM,AIY,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0
250,AIM,AIZ,1.0,3.0,0.0,0.0,0.0,2,4.0,1.3333333333333333,2,0,not specific,4.0
251,AIM,ALA,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific,2.0
252,AIM,ALM,1.0,2.0,1.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific,4.0
253,AIM,ASG,13.0,14.0,16.0,0.0,0.0,3,43.0,14.333333333333334,3,0,cel_specific,43.0
254,AIM,ASH,4.0,2.0,0.0,4.0,0.0,3,10.0,10.0,2,1,not specific,10.0
255,AIM,ASJ,1.0,4.0,6.0,2.0,0.0,4,13.0,4.333333333333333,3,1,not specific,13.0
256,AIM,ASK,6.0,8.0,11.0,3.0,0.0,4,28.0,28.0,3,1,not specific,28.0
257,AIM,AVA,1.0,1.0,1.0,0.0,0.0,3,3.0,0.75,3,0,cel_specific,3.0
258,AIM,AVB,3.0,3.0,0.0,0.0,0.0,2,6.0,1.2,2,0,not specific,6.0
259,AIM,AVD,2.0,3.0,3.0,0.0,0.0,3,8.0,8.0,3,0,cel_specific,8.0
