,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros
37,ADA,URX,2,0,3,0,0,2,5,5,2,0,not specific,5
38,ADA,URY,0,0,2,2,0,2,4,2,1,1,not specific,4
39,ADE,ADA,2,2,2,6,0,4,12,12,3,1,not specific,12
40,ADE,ADE,9,8,14,0,0,3,31,31,3,0,cel_specific,31
41,ADE,AIN,0,2,0,0,0,1,2,0.6666666666666666,1,0,not specific,2
42,ADE,ALM,1,1,1,0,0,3,3,1,3,0,cel_specific,3
43,ADE,ALN,2,2,1,0,0,3,5,5,3,0,cel_specific,5
44,ADE,AQR,3,0,0,11,4,3,18,18,1,2,not specific,18
45,ADE,ASI,0,0,1,0,0,1,1,1,1,0,not specific,1
46,ADE,ASJ,1,0,0,0,0,1,1,1,1,0,not specific,1
47,ADE,AVA,12,9,46,17,17,5,101,33.666666666666664,3,2,core,101
48,ADE,AVB,1,0,0,0,0,1,1,0.2,1,0,not specific,1
49,ADE,AVD,0,2,7,1,0,3,10,2,2,1,not specific,10
50,ADE,AVE,1,1,7,0,0,3,9,2.25,3,0,cel_specific,9
51,ADE,AVH,0,0,1,0,0,1,1,0.3333333333333333,1,0,not specific,1
52,ADE,AVJ,0,0,1,0,0,1,1,1,1,0,not specific,1
53,ADE,AVK,5,4,0,0,0,2,9,3,2,0,not specific,9
54,ADE,AVL,0,0,1,0,0,1,1,0.25,1,0,not specific,1
55,ADE,BDU,1,0,1,0,0,2,2,0.4,2,0,not specific,2
56,ADE,CEP,5,5,8,0,0,3,18,18,3,0,cel_specific,18
57,ADE,DVA,1,0,0,0,0,1,1,0.3333333333333333,1,0,not specific,1
58,ADE,DVC,2,0,0,8,0,2,10,10,1,1,not specific,10
59,ADE,FLP,1,1,9,0,0,3,11,5.5,3,0,cel_specific,11
60,ADE,IL1,8,5,4,0,0,3,17,17,3,0,cel_specific,17
61,ADE,IL2,3,4,6,0,0,3,13,13,3,0,cel_specific,13
62,ADE,OLL,6,2,10,0,0,3,18,9,3,0,cel_specific,18
63,ADE,PVN,1,0,0,0,0,1,1,0.5,1,0,not specific,1
64,ADE,PVP,1,0,0,4,0,2,5,1,1,1,not specific,5
65,ADE,PVR,0,2,0,0,0,1,2,0.6666666666666666,1,0,not specific,2
66,ADE,PVT,0,2,0,0,0,1,2,2,1,0,not specific,2
67,ADE,RIA,0,0,3,0,0,1,3,3,1,0,not specific,3
68,ADE,RIF,0,1,1,4,0,3,6,3,2,1,not specific,6
69,ADE,RIG,34,34,87,56,35,5,246,246,3,2,core,246
70,ADE,RIH,3,0,4,0,0,2,7,7,2,0,not specific,7
71,ADE,RIM,0,0,0,6,0,1,6,3,0,1,not specific,6
72,ADE,RIV,6,6,5,0,0,3,17,17,3,0,cel_specific,17
73,ADE,RMD,8,8,17,0,0,3,33,11,3,0,cel_specific,33
74,ADE,RME,1,0,4,0,0,2,5,5,2,0,not specific,5
75,ADE,RMF,7,5,0,0,0,2,12,6,2,0,not specific,12
76,ADE,RMG,1,0,0,4,0,2,5,5,1,1,not specific,5
77,ADE,RMH,2,2,3,0,0,3,7,7,3,0,cel_specific,7
78,ADE,SAA,3,4,1,0,0,3,8,2,3,0,cel_specific,8
79,ADE,SDQ,0,1,0,0,0,1,1,0.3333333333333333,1,0,not specific,1
80,ADE,SIA,0,1,1,23,11,4,36,12,2,2,not specific,36
81,ADE,SIB,2,0,2,0,0,2,4,2,2,0,not specific,4
82,ADE,SMB,3,3,3,1,0,4,10,5,3,1,not specific,10
83,ADE,SMD,0,2,1,0,0,2,3,1.5,2,0,not specific,3
84,ADE,URB,1,1,3,0,0,3,5,5,3,0,cel_specific,5
85,ADE,URX,0,0,2,0,0,1,2,0.6666666666666666,1,0,not specific,2
86,ADE,VBn,0,0,3,0,0,1,3,0.6,1,0,not specific,3
87,ADF,ADA,1,0,10,1,0,3,12,12,2,1,not specific,12
88,ADF,ADF,0,0,1,0,0,1,1,1,1,0,not specific,1
89,ADF,ADL,0,0,1,0,0,1,1,1,1,0,not specific,1
90,ADF,AFD,0,0,2,0,9,2,11,11,1,1,not specific,11
91,ADF,AIA,0,2,2,0,3,3,7,7,2,1,not specific,7
92,ADF,AIB,1,2,3,0,0,3,6,3,3,0,cel_specific,6
93,ADF,AIN,0,0,0,1,0,1,1,1,0,1,not specific,1
94,ADF,AIY,0,0,2,4,2,3,8,4,1,2,not specific,8
95,ADF,AIZ,19,31,84,70,26,5,230,76.66666666666667,3,2,core,230
96,ADF,ASE,2,0,0,0,0,1,2,1,1,0,not specific,2
97,ADF,ASG,1,0,0,0,0,1,1,,1,0,not specific,1
98,ADF,ASH,0,1,10,0,0,2,11,,2,0,not specific,11
99,ADF,AUA,13,3,21,18,3,5,58,58,3,2,core,58
100,ADF,AVH,2,1,1,0,0,3,4,4,3,0,cel_specific,4
101,ADF,AWA,0,0,1,1,3,3,5,1.6666666666666667,1,2,not specific,5
102,ADF,AWB,2,2,6,7,0,4,17,5.666666666666667,3,1,not specific,17
103,ADF,AWC,0,0,3,0,0,1,3,1.5,1,0,not specific,3
104,ADF,BAG,0,1,6,0,0,2,7,7,2,0,not specific,7
105,ADF,OLQ,1,2,1,0,0,3,4,4,3,0,cel_specific,4
106,ADF,PVN,0,0,0,2,0,1,2,2,0,1,not specific,2
107,ADF,PVP,0,0,1,0,0,1,1,0.5,1,0,not specific,1
108,ADF,PVQ,1,0,0,0,0,1,1,0.2,1,0,not specific,1
109,ADF,RIA,35,29,122,115,13,5,314,104.66666666666667,3,2,core,314
110,ADF,RIB,0,0,4,4,0,2,8,4,1,1,not specific,8
111,ADF,RIC,1,0,0,0,0,1,1,0.5,1,0,not specific,1
112,ADF,RIG,9,7,29,0,0,3,45,15,3,0,cel_specific,45
113,ADF,RIH,0,1,2,2,0,3,5,5,2,1,not specific,5
114,ADF,RIP,0,0,0,40,7,2,47,15.666666666666666,0,2,pristi_specific,47
115,ADF,RIR,6,7,11,7,5,5,36,36,3,2,core,36
116,ADF,RIV,0,0,1,0,0,1,1,0.5,1,0,not specific,1
117,ADF,SIB,1,1,0,0,0,2,2,1,2,0,not specific,2
118,ADF,SMB,13,9,31,31,0,4,84,84,3,1,not specific,84
119,ADF,SMD,0,0,1,0,0,1,1,1,1,0,not specific,1
120,ADF,URX,4,2,11,11,0,4,28,14,3,1,not specific,28
121,ADF,URY,1,0,2,0,0,2,3,1,2,0,not specific,3
122,ADL,ADA,0,2,2,3,3,4,10,10,2,2,not specific,10
123,ADL,ADL,0,0,3,3,0,2,6,6,1,1,not specific,6
124,ADL,AIA,14,21,42,12,5,5,94,47,3,2,core,94
125,ADL,AIB,24,30,54,114,14,5,236,236,3,2,core,236
126,ADL,AIM,0,0,0,7,0,1,7,7,0,1,not specific,7
127,ADL,ALA,0,0,5,6,2,3,13,13,1,2,not specific,13
128,ADL,ALM,0,0,0,5,0,1,5,1.6666666666666667,0,1,not specific,5
129,ADL,ASE,10,3,15,31,0,4,59,59,3,1,not specific,59
130,ADL,ASG,0,1,2,6,0,3,9,9,2,1,not specific,9
131,ADL,ASH,11,12,10,6,0,4,39,39,3,1,not specific,39
132,ADL,ASI,0,0,0,18,4,2,22,22,0,2,pristi_specific,22
133,ADL,ASJ,0,0,0,2,0,1,2,2,0,1,not specific,2
134,ADL,ASK,2,5,0,19,1,4,27,9,2,2,not specific,27
135,ADL,AVA,10,30,22,3,0,4,65,21.666666666666668,3,1,not specific,65
136,ADL,AVB,2,1,19,4,2,5,28,28,3,2,core,28
137,ADL,AVD,14,26,48,9,2,5,99,99,3,2,core,99
138,ADL,AVE,2,1,0,13,0,3,16,8,2,1,not specific,16
139,ADL,AVH,0,1,0,0,0,1,1,0.3333333333333333,1,0,not specific,1
140,ADL,AVJ,8,5,14,3,0,4,30,30,3,1,not specific,30
141,ADL,AWA,0,2,1,0,0,2,3,0.6,2,0,not specific,3
142,ADL,AWB,1,2,3,5,3,5,14,3.5,3,2,core,14
143,ADL,AWC,8,13,9,5,0,4,35,35,3,1,not specific,35
144,ADL,CEP,0,0,1,0,0,1,1,0.5,1,0,not specific,1
145,ADL,HSN,2,0,0,12,0,2,14,4.666666666666667,1,1,not specific,14
146,ADL,IL1,0,0,0,4,0,1,4,4,0,1,not specific,4
147,ADL,IL2,0,0,0,2,0,1,2,2,0,1,not specific,2
148,ADL,OLL,0,0,1,0,0,1,1,1,1,0,not specific,1
149,ADL,OLQ,0,2,3,2,3,4,10,,2,2,not specific,10
150,ADL,PVC,0,2,3,0,0,2,5,1.6666666666666667,2,0,not specific,5
151,ADL,PVD,0,0,0,3,5,2,8,2.6666666666666665,0,2,pristi_specific,8
152,ADL,PVN,1,0,0,8,0,2,9,,1,1,not specific,9
153,ADL,PVP,1,0,0,1,0,2,2,,1,1,not specific,2
154,ADL,PVQ,2,0,0,1,0,2,3,3,1,1,not specific,3
155,ADL,RIA,0,0,1,0,0,1,1,0.5,1,0,not specific,1
156,ADL,RIC,0,0,6,0,0,1,6,3,1,0,not specific,6
157,ADL,RIF,0,0,2,0,0,1,2,2,1,0,not specific,2
158,ADL,RIG,0,0,1,0,0,1,1,0.3333333333333333,1,0,not specific,1
159,ADL,RIP,0,0,5,0,0,1,5,1.6666666666666667,1,0,not specific,5
160,ADL,RIR,0,0,1,0,0,1,1,0.3333333333333333,1,0,not specific,1
161,ADL,RMG,0,0,0,6,3,2,9,9,0,2,pristi_specific,9
162,ADL,SIB,2,0,1,0,0,2,3,3,2,0,not specific,3
163,ADL,SMB,6,10,10,5,0,4,31,31,3,1,not specific,31
164,ADL,SMD,0,0,0,2,5,2,7,7,0,2,pristi_specific,7
165,ADL,URB,0,0,6,0,0,1,6,6,1,0,not specific,6
166,ADL,URX,0,0,7,0,0,1,7,7,1,0,not specific,7
167,ADL,URY,0,1,0,0,4,2,5,1.25,1,1,not specific,5
168,AFD,ADF,0,0,0,2,0,1,2,0.4,0,1,not specific,2
169,AFD,AFD,0,0,2,0,0,1,2,2,1,0,not specific,2
170,AFD,AIB,0,0,1,1,2,3,4,4,1,2,not specific,4
171,AFD,AIN,0,1,3,6,0,3,10,10,2,1,not specific,10
172,AFD,AIY,27,20,56,116,26,5,245,245,3,2,core,245
173,AFD,AIZ,0,1,0,1,0,2,2,1,1,1,not specific,2
174,AFD,ASE,2,1,7,4,0,4,14,4.666666666666667,3,1,not specific,14
175,AFD,ASH,0,0,0,8,0,1,8,2.6666666666666665,0,1,not specific,8
176,AFD,AUA,0,0,0,4,0,1,4,2,0,1,not specific,4
177,AFD,AWB,0,1,4,0,0,2,5,5,2,0,not specific,5
178,AFD,AWC,0,0,0,2,0,1,2,2,0,1,not specific,2
179,AFD,BAG,0,3,0,0,0,1,3,3,1,0,not specific,3
180,AFD,PVP,0,0,0,0,2,1,2,1,0,1,not specific,2
181,AFD,SIB,0,0,0,4,2,2,6,6,0,2,pristi_specific,6
182,AIA,ADA,4,5,8,0,0,3,17,17,3,0,cel_specific,17
183,AIA,ADF,0,0,2,0,0,1,2,2,1,0,not specific,2
184,AIA,ADL,2,7,11,6,0,4,26,13,3,1,not specific,26
185,AIA,AIA,0,0,1,5,0,2,6,6,1,1,not specific,6
186,AIA,AIB,25,34,99,63,19,5,240,,3,2,core,240
187,AIA,AIM,0,0,6,4,0,2,10,3.3333333333333335,1,1,not specific,10
188,AIA,AIY,0,0,0,0,8,1,8,8,0,1,not specific,8
189,AIA,AIZ,0,0,6,0,0,1,6,,1,0,not specific,6
190,AIA,ASE,2,1,20,17,0,4,40,20,3,1,not specific,40
191,AIA,ASG,2,3,6,2,0,4,13,13,3,1,not specific,13
192,AIA,ASH,1,0,1,38,17,4,57,28.5,2,2,not specific,57
193,AIA,ASI,2,1,2,3,0,4,8,4,3,1,not specific,8
194,AIA,ASJ,0,0,4,0,0,1,4,1.3333333333333333,1,0,not specific,4
195,AIA,ASK,5,3,10,19,0,4,37,18.5,3,1,not specific,37
196,AIA,AWA,1,0,4,1,0,3,6,6,2,1,not specific,6
197,AIA,AWB,0,0,0,2,0,1,2,2,0,1,not specific,2
198,AIA,AWC,13,21,19,2,3,5,58,11.6,3,2,core,58
199,AIA,HSN,2,0,0,0,0,1,2,2,1,0,not specific,2
200,AIA,PVQ,0,1,1,0,0,2,2,2,2,0,not specific,2
201,AIA,RIF,3,3,51,0,0,3,57,57,3,0,cel_specific,57
202,AIA,RIR,0,0,2,0,0,1,2,0.5,1,0,not specific,2
203,AIA,RMG,0,0,2,0,0,1,2,1,1,0,not specific,2
204,AIB,ADA,2,0,0,0,0,1,2,0.5,1,0,not specific,2
205,AIB,ADL,0,1,1,0,0,2,2,2,2,0,not specific,2
206,AIB,AIA,0,1,1,3,0,3,5,5,2,1,not specific,5
207,AIB,AIB,0,2,2,4,0,3,8,4,2,1,not specific,8
208,AIB,AIY,0,1,1,0,0,2,2,2,2,0,not specific,2
209,AIB,AIZ,0,2,7,1,0,3,10,10,2,1,not specific,10
210,AIB,AQR,1,0,1,0,0,2,2,0.4,2,0,not specific,2
211,AIB,ASE,0,0,0,2,0,1,2,2,0,1,not specific,2
212,AIB,ASH,0,0,6,8,0,2,14,14,1,1,not specific,14
213,AIB,ASK,0,0,0,1,0,1,1,0.3333333333333333,0,1,not specific,1
214,AIB,AUA,1,4,1,0,0,3,6,3,3,0,cel_specific,6
215,AIB,AVA,9,7,9,20,3,5,48,48,3,2,core,48
216,AIB,AVB,17,14,39,37,3,5,110,55,3,2,core,110
217,AIB,AVD,0,0,0,2,0,1,2,0.4,0,1,not specific,2
218,AIB,AVE,2,3,5,9,0,4,19,19,3,1,not specific,19
219,AIB,AVK,0,1,0,2,0,2,3,3,1,1,not specific,3
220,AIB,AWC,0,0,1,0,0,1,1,0.3333333333333333,1,0,not specific,1
221,AIB,BAG,1,2,0,0,0,2,3,0.75,2,0,not specific,3
222,AIB,DVA,2,1,1,0,0,3,4,4,3,0,cel_specific,4
223,AIB,DVC,1,0,0,0,0,1,1,0.25,1,0,not specific,1
224,AIB,FLP,0,0,1,0,0,1,1,1,1,0,not specific,1
225,AIB,IL2,0,0,0,0,2,1,2,1,0,1,not specific,2
226,AIB,PVT,0,0,0,2,0,1,2,2,0,1,not specific,2
227,AIB,RIA,1,1,3,0,0,3,5,5,3,0,cel_specific,5
228,AIB,RIB,15,22,27,10,2,5,76,76,3,2,core,76
229,AIB,RIC,0,0,1,0,0,1,1,0.5,1,0,not specific,1
230,AIB,RIF,0,0,1,0,0,1,1,1,1,0,not specific,1
231,AIB,RIG,1,4,6,0,0,3,11,2.2,3,0,cel_specific,11
232,AIB,RIM,53,43,114,89,21,5,320,320,3,2,core,320
233,AIB,RIV,1,1,0,0,0,2,2,2,2,0,not specific,2
234,AIB,RMF,2,4,7,0,0,3,13,3.25,3,0,cel_specific,13
235,AIB,RMH,0,0,0,3,0,1,3,1.5,0,1,not specific,3
236,AIB,SAA,10,9,22,6,0,4,47,15.666666666666666,3,1,not specific,47
237,AIB,SIA,1,0,5,2,0,3,8,8,2,1,not specific,8
238,AIB,SIB,1,1,4,2,0,4,8,2.6666666666666665,3,1,not specific,8
239,AIB,SMD,24,24,44,61,24,5,177,177,3,2,core,177
240,AIB,URA,0,0,0,1,0,1,1,1,0,1,not specific,1
241,AIB,URY,0,0,0,5,0,1,5,2.5,0,1,not specific,5
242,AIB,VBn,0,0,3,0,0,1,3,3,1,0,not specific,3
243,AIM,ADA,1,2,0,0,0,2,3,0.6,2,0,not specific,3
244,AIM,ADF,0,0,2,0,0,1,2,2,1,0,not specific,2
245,AIM,ADL,0,0,0,3,0,1,3,1,0,1,not specific,3
246,AIM,AIA,15,19,24,0,0,3,58,29,3,0,cel_specific,58
247,AIM,AIB,0,0,0,3,4,2,7,3.5,0,2,pristi_specific,7
248,AIM,AIM,2,1,1,0,0,3,4,1,3,0,cel_specific,4
249,AIM,AIY,1,0,0,0,0,1,1,1,1,0,not specific,1
250,AIM,AIZ,1,3,0,0,0,2,4,1.3333333333333333,2,0,not specific,4
251,AIM,ALA,0,0,2,0,0,1,2,0.5,1,0,not specific,2
252,AIM,ALM,1,2,1,0,0,3,4,4,3,0,cel_specific,4
253,AIM,ASG,13,14,16,0,0,3,43,14.333333333333334,3,0,cel_specific,43
254,AIM,ASH,4,2,0,4,0,3,10,10,2,1,not specific,10
255,AIM,ASJ,1,4,6,2,0,4,13,4.333333333333333,3,1,not specific,13
256,AIM,ASK,6,8,11,3,0,4,28,28,3,1,not specific,28
257,AIM,AVA,1,1,1,0,0,3,3,0.75,3,0,cel_specific,3
258,AIM,AVB,3,3,0,0,0,2,6,1.2,2,0,not specific,6
259,AIM,AVD,2,3,3,0,0,3,8,8,3,0,cel_specific,8
260,AIM,AVF,10,8,16,11,6,5,51,25.5,3,2,core,51
261,AIM,AVH,0,0,5,0,0,1,5,1.25,1,0,not specific,5
262,AIM,AVJ,1,2,2,0,0,3,5,5,3,0,cel_specific,5
263,AIM,AWB,2,2,0,0,0,2,4,1.3333333333333333,2,0,not specific,4
264,AIM,BDU,0,0,2,0,0,1,2,0.5,1,0,not specific,2
265,AIM,CEP,1,1,4,12,8,5,26,13,3,2,core,26
266,AIM,HSN,3,0,6,0,0,2,9,3,2,0,not specific,9
267,AIM,OLQ,0,0,1,0,2,2,3,1,1,1,not specific,3
268,AIM,PVN,2,0,1,2,0,3,5,5,2,1,not specific,5
269,AIM,PVQ,0,0,1,1,2,3,4,1.3333333333333333,1,2,not specific,4
270,AIM,RIC,1,0,0,0,0,1,1,0.3333333333333333,1,0,not specific,1
271,AIM,RID,2,0,3,0,0,2,5,1.6666666666666667,2,0,not specific,5
272,AIM,RIF,2,4,5,6,0,4,17,5.666666666666667,3,1,not specific,17
273,AIM,RMD,0,0,1,0,0,1,1,1,1,0,not specific,1
274,AIM,RMG,1,0,8,1,0,3,10,3.3333333333333335,2,1,not specific,10
275,AIM,SDQ,1,0,0,0,0,1,1,0.3333333333333333,1,0,not specific,1
276,AIM,SIA,1,1,0,0,0,2,2,1,2,0,not specific,2
277,AIM,SIB,0,1,0,0,0,1,1,0.25,1,0,not specific,1
278,AIM,SMB,2,2,4,1,2,5,11,2.75,3,2,core,11
279,AIM,URX,1,0,6,1,1,4,9,9,2,2,not specific,9
280,AIN,ADF,0,0,0,1,3,2,4,2,0,2,pristi_specific,4
281,AIN,AFD,16,17,22,0,0,3,55,55,3,0,cel_specific,55
282,AIN,AIA,0,1,3,0,0,2,4,4,2,0,not specific,4
283,AIN,AIB,4,2,2,17,6,5,31,31,3,2,core,31
284,AIN,AIN,0,1,2,0,0,2,3,3,2,0,not specific,3
285,AIN,AIY,0,1,0,1,0,2,2,2,1,1,not specific,2
286,AIN,AIZ,0,0,0,7,3,2,10,10,0,2,pristi_specific,10
287,AIN,ASE,3,3,5,0,3,4,14,7,3,1,not specific,14
288,AIN,ASG,0,0,2,0,0,1,2,2,1,0,not specific,2
289,AIN,ASI,0,0,11,0,0,1,11,11,1,0,not specific,11
290,AIN,AUA,7,5,5,9,6,5,32,32,3,2,core,32
291,AIN,AVA,0,1,0,0,0,1,1,1,1,0,not specific,1
292,AIN,AWA,0,0,0,10,3,2,13,13,0,2,pristi_specific,13
293,AIN,AWC,1,0,2,0,0,2,3,1.5,2,0,not specific,3
294,AIN,BAG,19,16,14,12,2,5,63,63,3,2,core,63
295,AIN,CEP,3,5,2,0,0,3,10,2.5,3,0,cel_specific,10
296,AIN,RIA,1,0,0,6,0,2,7,7,1,1,not specific,7
297,AIN,RIB,15,13,13,22,9,5,72,36,3,2,core,72
298,AIN,RID,1,5,4,0,0,3,10,10,3,0,cel_specific,10
299,AIN,RIM,4,2,0,0,0,2,6,1.2,2,0,not specific,6
300,AIN,RMD,0,0,3,0,0,1,3,0.6,1,0,not specific,3
301,AIN,RMF,0,2,1,0,0,2,3,1.5,2,0,not specific,3
302,AIN,SAA,0,0,3,0,0,1,3,3,1,0,not specific,3
303,AIN,URX,1,0,4,0,0,2,5,1.25,2,0,not specific,5
304,AIY,ADF,2,1,1,12,0,4,16,16,3,1,not specific,16
305,AIY,AFD,2,1,3,1,0,4,7,1.75,3,1,not specific,7
306,AIY,AIB,1,2,3,8,0,4,14,14,3,1,not specific,14
307,AIY,AIN,0,0,1,0,0,1,1,1,1,0,not specific,1
308,AIY,AIY,1,0,12,0,0,2,13,13,2,0,not specific,13
309,AIY,AIZ,26,23,219,145,57,5,470,235,3,2,core,470
310,AIY,ASE,4,3,7,9,0,4,23,11.5,3,1,not specific,23
311,AIY,ASG,0,0,2,0,0,1,2,0.6666666666666666,1,0,not specific,2
312,AIY,ASH,0,0,0,1,0,1,1,1,0,1,not specific,1
313,AIY,AUA,0,3,0,0,0,1,3,1,1,0,not specific,3
314,AIY,AVB,0,1,0,0,0,1,1,0.3333333333333333,1,0,not specific,1
315,AIY,AWA,1,3,25,4,0,4,33,6.6,3,1,not specific,33
316,AIY,AWB,0,2,1,1,0,3,4,2,2,1,not specific,4
317,AIY,AWC,1,0,8,0,0,2,9,4.5,2,0,not specific,9
318,AIY,BAG,1,3,1,0,0,3,5,1.25,3,0,cel_specific,5
319,AIY,HSN,0,0,1,0,0,1,1,1,1,0,not specific,1
320,AIY,RIA,11,6,167,104,45,5,333,166.5,3,2,core,333
321,AIY,RIB,12,12,168,115,46,5,353,88.25,3,2,core,353
322,AIY,RIH,0,0,1,2,0,2,3,3,1,1,not specific,3
323,AIY,RIM,0,1,0,0,0,1,1,,1,0,not specific,1
324,AIY,RIR,1,0,1,0,0,2,2,2,2,0,not specific,2
325,AIY,RIV,0,0,1,0,0,1,1,1,1,0,not specific,1
326,AIZ,ADA,0,0,0,2,0,1,2,,0,1,not specific,2
327,AIZ,ADF,1,0,2,2,0,3,5,5,2,1,not specific,5
328,AIZ,AFD,1,0,1,0,0,2,2,1,2,0,not specific,2
329,AIZ,AIA,10,22,17,0,0,3,49,24.5,3,0,cel_specific,49
330,AIZ,AIB,46,74,116,102,22,5,360,360,3,2,core,360
331,AIZ,AIY,0,1,0,3,0,2,4,4,1,1,not specific,4
332,AIZ,AIZ,0,1,0,6,11,3,18,9,1,2,not specific,18
333,AIZ,ASE,3,3,6,6,0,4,18,18,3,1,not specific,18
334,AIZ,ASG,0,1,0,0,0,1,1,1,1,0,not specific,1
335,AIZ,AUA,0,0,0,8,0,1,8,4,0,1,not specific,8
336,AIZ,AVA,0,1,0,10,0,2,11,11,1,1,not specific,11
337,AIZ,AVD,0,1,0,0,0,1,1,1,1,0,not specific,1
338,AIZ,AVE,24,20,58,0,0,3,102,102,3,0,cel_specific,102
339,AIZ,AVK,0,0,4,6,2,3,12,12,1,2,not specific,12
340,AIZ,AWA,2,1,1,2,0,4,6,6,3,1,not specific,6
341,AIZ,AWB,1,2,0,1,0,3,4,4,2,1,not specific,4
342,AIZ,AWC,3,3,4,0,0,3,10,10,3,0,cel_specific,10
343,AIZ,BAG,2,2,0,0,0,2,4,1,2,0,not specific,4
344,AIZ,DVA,1,1,4,0,0,3,6,3,3,0,cel_specific,6
345,AIZ,RIA,24,20,58,51,3,5,156,156,3,2,core,156
346,AIZ,RIB,0,0,0,1,0,1,1,1,0,1,not specific,1
347,AIZ,RIC,0,0,11,0,0,1,11,11,1,0,not specific,11
348,AIZ,RID,0,1,0,0,0,1,1,1,1,0,not specific,1
349,AIZ,RIG,0,0,4,2,2,3,8,4,1,2,not specific,8
350,AIZ,RIH,0,1,0,0,0,1,1,1,1,0,not specific,1
351,AIZ,RIM,24,41,69,76,26,5,236,78.66666666666667,3,2,core,236
352,AIZ,RIP,0,0,0,1,0,1,1,0.2,0,1,not specific,1
353,AIZ,RIR,0,0,0,63,6,2,69,34.5,0,2,pristi_specific,69
354,AIZ,SDQ,0,0,0,3,0,1,3,3,0,1,not specific,3
355,AIZ,SIA,0,0,1,1,0,2,2,2,1,1,not specific,2
356,AIZ,SMB,56,48,95,110,25,5,334,83.5,3,2,core,334
357,AIZ,SMD,0,0,7,0,0,1,7,7,1,0,not specific,7
358,AIZ,URY,1,0,3,9,0,3,13,6.5,2,1,not specific,13
359,AIZ,VBn,0,0,1,0,0,1,1,1,1,0,not specific,1
360,ALA,ADL,1,1,0,12,3,4,17,17,2,2,not specific,17
361,ALA,AIM,0,0,0,0,6,1,6,6,0,1,not specific,6
362,ALA,ASG,0,0,0,4,0,1,4,4,0,1,not specific,4
363,ALA,ASJ,0,0,4,0,0,1,4,4,1,0,not specific,4
364,ALA,AVA,0,1,0,0,0,1,1,1,1,0,not specific,1
365,ALA,AVD,0,0,1,0,0,1,1,1,1,0,not specific,1
366,ALA,AVE,7,5,12,16,9,5,49,9.8,3,2,core,49
